Question,Answer
what medicine besides statins lower cholesterol,fibrates  fenofibrate tricor  gemfibrozil lopid  resins  cholestyramine questran locholest  colestipol colestid  colesevelam welchol  absorption blocker  ezetimibe zetia  niacin
what does the pill oxybutynin look like,product characteristics color blue light blue score  pieces shape round size mm imprint code v
what is the normal dose of lactulose,the usual dose is  to  tablespoonfuls  to  ml containing  g to  g of lactulose daily
what pills are not compatible with hydrocodone,taking certain medications or stopping treatment with certain other medications while you are taking hydrocodone may increase the risk that you will experience breathing problems sedation coma or other serious lifethreatening side effects tell your doctor if you are taking plan to take or plan to stop taking any of the following medications certain antifungal medications including itraconazole onmel sporanox ketoconazole extina nizoral xolegel and voriconazole vfend benzodiazepines such as alprazolam xanax chlordiazepoxide librium clonazepam klonopin diazepam diastat valium estazolam flurazepam lorazepam ativan oxazepam temazepam restoril and triazolam halcion carbamazepine carbatrol epitol equetro tegretol others cimetidine clarithromycin biaxin in prevpac erythromycin ees erythromycin others other narcotic pain medications medications for mental illness or nausea certain medications for human immunodeficiency virus hiv including ritonavir norvir in kaletra in viekira pak muscle relaxants phenytoin dilantin phenytek rifampin rifadin rimactane in rifamate in rifater sedatives sleeping pills or tranquilizers
shingrix vaccine how often do you get a shingles shot,shingles vaccine recombinant two doses  to  months apart are recommended forÂ adults  and older this vaccine is also recommended for people who have already gotten the live shingles vaccine zostavax there is no live virus in this vaccine
how long will suboxone block opioid,suboxone typically lasts up to  days most doctors ask their patients to take the drug once per day typically at the same time each day a personâ€™s weight metabolism and history of drug abuse can lengthen or shorten the action of suboxone itâ€™s best to work with a doctor on a customized dose based on your medical history
how to stop taking trazodone,do not stop taking trazodone without talking to your doctor if you suddenly stop taking trazodone you may experience withdrawal symptoms such as anxiety agitation or difficulty falling asleep or staying asleep your doctor will probably decrease your dose gradually
does marijuana use lead to negative health outcomes,marijuana can cause problems with memory learning and behavior smoking it can cause some of the same coughing and breathing problems as smoking cigarettes some people get addicted to marijuana after using it for a while it is more likely to happen if they use marijuana every day or started using it when they were teenagers
blood pressure when on eliquis,less common adverse reactions â€¦ vascular disorders hypotension including procedural hypotension
what do i mix albuterol sulfate inhalation solution with in my nebulizer,albuterol sulfate inhalation solution is supplied as a singledose readytouse vial containing  ml of solution no mixing or dilution is needed use one new vial with each nebulizer treatment
what color metoprolol,product characteristics color white score  pieces shape oval capsuleshaped size mm flavor imprint code m
tramadol milligrams,adults  years of age and over for patients with moderate to moderately severe chronic pain not requiring rapid onset of analgesic effect the tolerability of tramadol hydrochloride can be improved by initiating therapy with a titration regimen the total daily dose may be increased by  mg as tolerated every  days to reach  mgday  mg qid after titration tramadol hydrochloride tablets  mg to  mg can be administered as needed for pain relief every four to six hours not to exceed  mg per day
what ppis this medication for simvastatin,ppis may modestly boost the statinmediated ldlc reduction
how to give insulin,insulin comes as a solution liquid and a suspension liquid with particles that will settle on standing to be injected subcutaneously under the skin insulin is usually injected several times a day â€¦ whole section
how often do i get the pneumococcal conjugate vaccine,vaccination schedule for adults  years of age and older prevnar  is administered as a single dose
what are the active ingredients in bimatoprost,active ingredientactive moiety ingredient name bimatoprost unii qxsmz bimatoprost  uniiqxsmz
how does it take for strattera to begin to show some improvement,some people report small changes in hyperactivity and impulse control within two weeks but it may take  to  weeks for the drug to achieve maximum effectiveness
will citalopram exacerbate heart arrhythmias,qtprolongation and torsade de pointes citalopram causes dosedependent qtc prolongation an ecg abnormality that has been associated with torsade de pointes tdp ventricular tachycardia and sudden death all of which have been observed in postmarketing reports for citalopram whole subsection
what does marijuana look like,marijuana is a green brown or gray mix of dried crumbled parts from the marijuana plant
nitroglycerin how it works,the principal pharmacological action of nitroglycerin is relaxation of vascular smooth muscle and consequent dilatation of peripheral arteries and veins especially the latter dilatation of the veins promotes peripheral pooling of blood and decreases venous return to the heart thereby reducing left ventricular enddiastolic pressure and pulmonary capillary wedge pressure preload arteriolar relaxation reduces systemic vascular resistance systolic arterial pressure and mean arterial pressure afterload dilatation of the coronary arteries also occurs the relative importance of preload reduction afterload reduction and coronary dilatation remains undefined
what is an esi shot in the back epidural steroids shot in the back,an epidural steroid injection esi is a minimally invasive procedure that can help relieve neck arm back and leg pain caused by inflamed spinal nerves due to spinal stenosis or disc herniation medicines are delivered to the epidural space which is a fatfilled area between the bone and the protective sac of the spinal nerves
what is medication for singular  mg,singulair is indicated for the prophylaxis and chronic treatment of asthma in adults and pediatric patients  months of age and older singulair is indicated for prevention of exerciseinduced bronchoconstriction in patients  years of age and older singulair is indicated for the relief of symptoms of allergic rhinitis seasonal allergic rhinitis in adults and pediatric patients  years of age and older and perennial allergic rhinitis in adults and pediatric patients  months of age and older
diclofenac sodium  mg how much is to much,diclofenac sodium may be administered as  mg  mg or  mg delayedrelease tablets regardless of the indication the dosage of diclofenac should be individualized to the lowest effective dose to minimize adverse effects see clinical pharmacology individualization of dosage osteoarthritis the recommended dosage is  to  mgday in divided doses  mg bid or tid or  mg bid dosages above  mgday have not been studied in patients with osteoarthritis rheumatoid arthritis the recommended dosage is  to  mgday in divided doses  mg tid or qid or  mg bid dosages above  mgday are not recommended in patients with rheumatoid arthritis ankylosing spondylitis the recommended dosage is  to  mgday administered as  mg qid with an extra  mg dose at bedtime if necessary dosages above  mgday have not been studied in patients with ankylosing spondylitis
what upis this medication for simvastatin,no answers
any side effects when stop taking clopidogrel,discontinuation of clopidogrel bisulfate increases the risk of cardiovascular events if clopidogrel must be temporarily discontinued eg to treat bleeding or for surgery with a major risk of bleeding restart it as soon as possible when possible interrupt therapy with clopidogrel for five days prior to such surgery resume clopidogrel as soon as hemostasis is achieved
can hormonal contraceptives be used for medical reasons,medical uses of the birth control pill â€¦ whole page
what opioid is in the bupropion patch,active ingredientactive moiety ingredient name buprenorphine unii dscrgz buprenorphine  uniidscrgz
what is nicoderm,reduces withdrawal symptoms including nicotine craving associated with quitting smoking
if wanting to change from duragesic patch to oxycontin how are doseages compared,based on tdf patch strength calculate oral morphine equivalent or other opioid equivalent if converting to oral morphine use the  mg oral morphineday   mcgh tdf rule
what is fluoride,the mineral fluoride occurs naturally on earth and is released from rocks into the soil water and air all water contains some fluoride usually the fluoride level in water is not enough to prevent tooth decay however some groundwater and natural springs can have naturally high levels of fluoride fluoride has been proven to protect teeth from decay bacteria in the mouth produce acid when a person eats sugary foods this acid eats away minerals from the toothâ€™s surface making the tooth weaker and increasing the chance of developing cavities fluoride helps to rebuild and strengthen the toothâ€™s surface or enamel water fluoridation prevents tooth decay by providing frequent and consistent contact with low levels of fluoride by keeping the tooth strong and solid fluoride stops cavities from forming and can even rebuild the toothâ€™s surface
why is losartin prescribed rather than a calcium channel blocker,losartan is in a class of medications called angiotensin ii receptor antagonists it works by blocking the action of certain natural substances that tighten the blood vessels allowing the blood to flow more smoothly and the heart to pump more efficiently
when used as a rinse how big should the amount of lidocaineof lidocaine used,lidocaine viscous comes as a thick liquid and should be shaken well before using lidocaine viscous usually is used as needed but not more frequently than every  hours with a maximum of  doses in  hours in children under  years of age do not use more frequently than every  hours with a maximum of  doses in  hours follow the directions on your prescription label carefully and ask your doctor or pharmacist to explain any part you do not understand use lidocaine exactly as directed do not use more or less of it or use it more often than prescribed by your doctor
is it safe to add peppermint essential oil in mouthwash,peppermint oil appears to be safe when taken orally by mouth in the doses commonly used excessive doses of peppermint oil can be toxic possible side effects of peppermint oil include allergic reactions and heartburn capsules containing peppermint oil are often entericcoated to reduce the likelihood of heartburn if entericcoated peppermint oil capsules are taken at the same time as antacids the coating can break down too quickly like other essential oils peppermint oil is highly concentrated when the undiluted essential oil is used for health purposes only a few drops are used side effects of applying peppermint oil to the skin can include skin rashes and irritation peppermint oil should not be applied to the face or chest of infants or young children because serious side effects may occur if they inhale the menthol in the oil no harmful effects of peppermint leaf tea have been reported however the longterm safety of consuming large amounts of peppermint leaf is unknown
how to identify clonidine tablets,product characteristics color white score no score shape round biconvex size mm flavor imprint code a
enoxaparin shot admin they injected into my kidney what will i do,if patients have had neuraxial anesthesia or spinal puncture and particularly if they are taking concomitant nsaids platelet inhibitors or other anticoagulants they should be informed to watch for signs and symptoms of spinal or epidural hematoma such as tingling numbness especially in the lower limbs and muscular weakness if any of these symptoms occur the patient should contact his or her physician immediately additionally the use of aspirin and other nsaids may enhance the risk of hemorrhage their use should be discontinued prior to enoxaparin therapy whenever possible if coadministration is essential the patients clinical and laboratory status should be closely monitored see drug interactions  patients should also be informed of the instructions for injecting enoxaparin sodium injection if their therapy is to continue after discharge from the hospitals it may take them longer than usual to stop bleeding they may bruise andor bleed more easily when they are treated with enoxaparin sodium injection they should report any unusual bleeding bruising or signs of thrombocytopenia such as a rash of dark red spots under the skin to their physician see warnings and precautions   to tell their physicians and dentists they are taking enoxaparin sodium injection andor any other product known to affect bleeding before any surgery is scheduled and before any new drug is taken see warnings and precautions  to tell their physicians and dentists of all medications they are taking including those obtained without a prescription such as aspirin or other nsaids see drug interactions
what is marijuana,marijuana is a green brown or gray mix of dried crumbled parts from the marijuana plant
how to safely stop taking anastrozole,a study has found that postmenopausal women who stop taking hormonal therapy early or skip doses are much more likely to have a breast cancer recurrence than women who take hormonal therapy as prescribed
vitamin d what can do for bones,vitamin d helps your body absorb calcium calcium is one of the main building blocks of bone a lack of vitamin d can lead to bone diseases such as osteoporosis or rickets vitamin d also has a role in your nerve muscle and immune systems
metformin after dinner and bed time,metformin hydrochloride extendedrelease tablets usp should generally be given once daily with the evening meal
what is cortisol,cortisol is a steroid hormone in the glucocorticoid class of hormones when used as a medication it is known as hydrocortisone it is produced in humans by the zona fasciculata of the adrenal cortex within the adrenal gland it is released in response to stress and low bloodglucose concentration it functions to increase blood sugar through gluconeogenesis to suppress the immune system and to aid in the metabolism of fat protein and carbohydrates it also decreases bone formation
effects of salt of epson to diabetes,while epsom salt baths can be relaxing they are not recommended for people with diabetes epsom salt is made up of magnesium sulfate why does that matter when epsom salts are added to a warm bath some magnesium can be absorbed through the skin causing an increased release of insulin leading to hypoglycemia low blood sugar
mg ativan ccis a small does of ativan for adults,ativan lorazepam is administered orally for optimal results dose frequency of administration and duration of therapy should be individualized according to patient response to facilitate this  mg  mg and  mg tablets are available the usual range is  to  mgday given in divided doses the largest dose being taken before bedtime but the daily dosage may vary from  to  mgday for anxiety most patients require an initial dose of  to  mgday given two times a day or three times a day for insomnia due to anxiety or transient situational stress a single daily dose of  to  mg may be given usually at bedtime for elderly or debilitated patients an initial dosage of  to  mgday in divided doses is recommended to be adjusted as needed and tolerated the dosage of ativan lorazepam should be increased gradually when needed to help avoid adverse effects when higher dosage is indicated the evening dose should be increased before the daytime doses
what help withdrawal fom hydrocodone,narcotics anonymous na assists people who want to stop abusing prescription or illegal drugs find a meeting center or online support group by searching for the local helpline or website for the area where the meeting is located
what is prochlorperazine,"for control of severe nausea and vomiting 
for the treatment of schizophrenia

prochlorperazine is effective for the shortterm treatment of generalized nonpsychotic anxiety however prochlorperazine is not the first drug to be used in therapy for most patients with nonpsychotic anxiety because certain risks associated with its use are not shared by common alternative treatments eg benzodiazepines

when used in the treatment of nonpsychotic anxiety prochlorperazine should not be administered at doses of more than  mg per day or for longer than  weeks because the use of prochlorperazine at higher doses or for longer intervals may cause persistent tardive dyskinesia that may prove irreversible see warnings

the effectiveness of prochlorperazine as treatment for nonpsychotic anxiety was established in week clinical studies of outpatients with generalized anxiety disorder this evidence does not predict that prochlorperazine will be useful in patients with other nonpsychotic conditions in which anxiety or signs that mimic anxiety are found eg physical illness organic mental conditions agitated depression character pathologies etc

prochlorperazine has not been shown effective in the management of behavioral complications in patients with mental retardation"
what does valacyclovir gm cure,"valacyclovir tablets usp are a prescription antiviral medicine valacyclovir tablets usp lower the ability of herpes viruses to multiply in your body

valacyclovir tablets usp are used in adults

to treat cold sores also called fever blisters or herpes labialis
to treat shingles also called herpes zoster
to treat or control genital herpes outbreaks in adults with normal immune systems
to control genital herpes outbreaks in adults infected with the human immunodeficiency virus hiv with cd  cell count greater than  cellsmm
with safer sex practices to lower the chances of spreading genital herpes to others even with safer sex practices it is still possible to spread genital herpes
valacyclovir tablets usp used daily with the following safer sex practices can lower the chances of passing genital herpes to your partner

do not have sexual contact with your partner when you have any symptom or outbreak of genital herpes
use a condom made of latex or polyurethane whenever you have sexual contact
valacyclovir tablets usp are used in children

to treat cold sores for children â‰¥  years of age
to treat chickenpox for children  to   years of age"
methotrexate how many milligrams for psoriatic arthritis,"psoriasis
recommended starting dose schedules

 weekly single oral im or iv dose schedule  to  mg per week until adequate response is achieved

 divided oral dose schedule  mg at  hour intervals for three doses

dosages in each schedule may be gradually adjusted to achieve optimal clinical response  mgweek should not ordinarily be exceeded

once optimal clinical response has been achieved each dosage schedule should be reduced to the lowest possible amount of drug and to the longest possible rest period the use of methotrexate may permit the return to conventional topical therapy which should be encouraged"
how long can i take raloxifene,the raloxifene use for the heart ruth trial that evaluated as primary endpoint the effect of raloxifene on cardiovascular events in  postmenopausal women for a median of  years mean age  years clearly demonstrates the benefits of raloxifene in older women in the prevention of clinical vertebral fracture âˆ’ p   but not for nonvertebral fractures p   versus placebo irrespective of presence or absence of risk factors for fracture
is it safe to take toradol when breast feeding,"nursing mothers
limited data from one published study involving  breastfeeding women  to  days postpartum showed low levels of ketorolac in breast milk levels were undetectable less than  ngml in  of the patients after a single administration of  mg of ketorolac tromethamine tablets the maximum milk concentration observed was  ngml and the maximum milktoplasma ratio was  after  day of dosing  mg every  hours the maximum milk concentration was  ngml and the maximum milktoplasma ratio was  assuming a daily intake of  to  ml of human milk per day and a maternal body weight of  kg the calculated maximum daily infant exposure was  mgkgday which is  of the maternal weightadjusted dose

exercise caution when ketorolac is administered to a nursing woman available information has not shown any specific adverse events in nursing infants however instruct patients to contact their infants health care provider if they note any adverse events"
oxycodone hcl  mg  oxycodone  apap the same,"percocet  oxycodone hydrochloride and acetaminophen tablet each tablet for oral administration contains oxycodone hydrochloride and acetaminophen in the following strengths oxycodone hydrochloride usp  mg
acetaminophen usp  mg
 mg oxycodone hcl is equivalent to  mg of oxycodone"
how do beta blockers work,"beta blockers also known as betaadrenergic blocking agents are medications that reduce your blood pressure beta blockers work by blocking the effects of the hormone epinephrine also known as adrenaline

when you take beta blockers your heart beats more slowly and with less force thereby reducing blood pressure beta blockers also help blood vessels open up to improve blood flow"
what is contraindication of carbamazepine,"carbamazepine should not be used in patients with a history of previous bone marrow depression hypersensitivity to the drug or known sensitivity to any of the tricyclic compounds such as amitriptyline desipramine imipramine protriptyline nortriptyline etc likewise on theoretical grounds its use with monoamine oxidase mao inhibitors is not recommended before administration of carbamazepine mao inhibitors should be discontinued for a minimum of  days or longer if the clinical situation permits

coadministration of carbamazepine and nefazodone may result in insufficient plasma concentrations of nefazodone and its active metabolite to achieve a therapeutic effect coadministration of carbamazepine with nefazodone is contraindicated"
what is docusate sodium,stool softener
what valacyclovir looks like,color blue shape capsule size mm
what is insulin glucagon,glucagon for injection is a polypeptide hormone identical to human glucagon that increases blood glucose and relaxes smooth muscle of the gastrointestinal tract
what milligrams the allopurinol,the dosage of allopurinol tablets usp to accomplish full control of gout and to lower serum uric acid to normal or nearnormal levels varies with the severity of the disease the average is  to  mgday for patients with mild gout and  to  mgday for those with moderately severe tophaceous gout the appropriate dosage may be administered in divided doses or as a single equivalent dose with the mg tablet dosage requirements in excess of  mg should be administered in divided doses the minimal effective dosage is  to  mg daily and the maximal recommended dosage is  mg daily to reduce the possibility of flareup of acute gouty attacks it is recommended that the patient start with a low dose of allopurinol tablets usp  mg daily and increase at weekly intervals by  mg until a serum uric acid level of  mgdl or less is attained but without exceeding the maximal recommended dosage
how long itching lasts after stopping doxycycline,"doxycycline is virtually completely absorbed after oral administration

following a  mg dose normal adult volunteers averaged peak serum levels of  mcgml of doxycycline at  hours decreasing to  mcgml at  hours excretion of doxycycline by the kidney is about  hours in individuals with normal function creatinine clearance about  mlmin this percentage excretion may fall as low as â€“ hours in individuals with severe renal insufficiency creatinine clearance below  mlmin studies have shown no significant difference in serum halflife of doxycycline range â€“ hours in individuals with normal and severely impaired renal function"
why shouldnt i take gemfibrozil while taking lovastatin,"strong inhibitors of cypa lovastatin like several other inhibitors of hmgcoa reductase is a substrate of cytochrome p a cypa certain drugs which inhibit this metabolic pathway can raise the plasma levels of lovastatin and may increase the risk of myopathy these include itraconazole ketoconazole posaconazole voriconazole the macrolide antibiotics erythromycin and clarithromycin the ketolide antibiotic telithromycin hiv protease inhibitors boceprevir telaprevir the antidepressant nefazodone or cobicistatcontaining products combination of these drugs with lovastatin is contraindicated if shortterm treatment with strong cypa inhibitors is unavoidable therapy with lovastatin should be suspended during the course of treatment see contraindications precautions drug interactions

gemfibrozil the combined use of lovastatin with gemfibrozil should be avoided

other lipidlowering drugs other fibrates or greater than or equal to  gday of niacin caution should be used when prescribing other fibrates or lipidlowering doses greater than or equal to  gday of niacin with lovastatin as these agents can cause myopathy when given alone the benefit of further alterations in lipid levels by the combined use of lovastatin with other fibrates or niacin should be carefully weighed against the potential risks of these combinations"
prevnar,cdc recommends pcv for use in infants and young children and adults  years or older older children and adults younger than  years old who are at increased risk for getting pneumococcal disease may also need a dose of pcv
how is cyanocobalamin adminitsered,cyanocobalamin injection usp is a sterile solution of cyanocobalamin for intramuscular or subcutaneous injection each ml contains  mcg cyanocobalamin
how dextroamphetamine works,dextroamphetamine is used as part of a treatment program to control symptoms of attention deficit hyperactivity disorder adhd more difficulty focusing controlling actions and remaining still or quiet than other people who are the same age in adults and children dextroamphetamine is also used to treat narcolepsy a sleep disorder that causes excessive daytime sleepiness and sudden attacks of sleep dextroamphetamine is in a class of medications called central nervous system stimulants it works by changing the amounts of certain natural substances in the brain
what is beta vulgaris,"beetroot or beet juice
beets and beet juice are among the best food sources of nitrate beet juice might improve athletic performance because the body converts some of this nitrate to nitric oxide which expands blood vessels this blood vessel expansion increases blood flow and the delivery of oxygen and nutrients to exercising muscle the expanded blood vessels also speed up the removal of waste products that cause muscle fatigue"
if im allergic to penicillin can i take amoxicillin,a history of allergic reaction to any of the penicillins is a contraindication
what milagrams olanzapine come in,"olanzapine tablets usp  mg are white film coated oval biconvex tablets with â€œrâ€ 
debossed onÂ one side and â€œâ€ on other side"
how many milligrams of aceitomohen in a bottle of acetaminophen with codeine,acetaminophen and codeine phosphate tablets  mg mg are white round flatfaced beveled edge scored bisect bar tablets debossed  and v on one side and debossed  on the reverse side they are supplied in bottles of         and
what medications can you not take with grapefruit,"here are examples of some types of drugs that grapefruit juice can cause problems with interact

some statin drugs to lower cholesterol such as zocor simvastatin and lipitor atorvastatin
some drugs that treat high blood pressure such as procardia and adalat cc both nifedipine
some organtransplant rejection drugs such as sandimmune and neoral both cyclosporine
some antianxiety drugs such as buspirone
some corticosteroids that treat crohnâ€™s disease or ulcerative colitis such as entocort ec and uceris both budesonide
some drugs that treat abnormal heart rhythms such as pacerone and nexterone both amiodarone
some antihistamines such as allegra fexofenadine"
nitrofurantoin generic for,"furadantinÂ® tabletsÂ¶
furadantinÂ® oral suspension
furalanÂ®Â¶
macrobidÂ®
macrodantinÂ®"
mouth wash with salt water how much salt to water,rinse your mouth with salt water onehalf teaspoon or  grams of salt in  cup or  milliliters of water or mouthwashes with hydrogen peroxide or xylocaine to ease discomfort
what is vancomycin,"vancomycin injection is used alone or in combination with other medications to treat certain serious infections such as endocarditis infection of the heart lining and valves peritonitis inflammation of the lining of the abdomen and infections of the lungs skin blood and bones vancomycin injection is in a class of medications called glycopeptide antibiotics it works by killing bacteria that cause infections

antibiotics such as vancomycin injection will not work for colds flu or other viral infections taking or using antibiotics when they are not needed increases your risk of getting an infection later that resists antibiotic treatment"
at what point do i no longer need cyanocobalamin injection,"cyanocobalamin comes as a solution liquid to be injected into a muscle or just under the skin it is usually injected by a healthcare provider in an office or clinic you will probably receive cyanocobalamin injection once a day for the first  days of your treatment as your red blood cells return to normal you will probably receive the medication every other day for  weeks and then every  days for  weeks after your anemia has been treated you will probably receive the medication once a month to prevent your symptoms from coming back

cyanocobalamin injection will supply you with enough vitamin b only as long as you receive injections regularly you may receive cyanocobalamin injections every month for the rest of your life keep all appointments to receive cyanocobalamin injections even if you feel well if you stop receiving cyanocobalamin injections your anemia may return and your nerves may be damaged"
amiodarone for afibwhat are side effects,"adverse reactions have been very common in virtually all series of patients treated with amiodarone for ventricular arrhythmias with relatively large doses of drug  mgday and above occurring in about threefourths of all patients and causing discontinuation in  to  the most serious reactions are pulmonary toxicity exacerbation of arrhythmia and rare serious liver injury see â€œwarningsâ€ but other adverse effects constitute important problems they are often reversible with dose reduction or cessation of amiodarone treatment most of the adverse effects appear to become more frequent with continued treatment beyond six months although rates appear to remain relatively constant beyond one year the time and dose relationships of adverse effects are under continued study

neurologic problems are extremely common occurring in  to  of patients and including malaise and fatigue tremor and involuntary movements poor coordination and gait and peripheral neuropathy they are rarely a reason to stop therapy and may respond to dose reductions or discontinuation see â€œprecautionsâ€ there have been spontaneous reports of demyelinating polyneuropathy

gastrointestinal complaints most commonly nausea vomiting constipation and anorexia occur in about  of patients but rarely require discontinuation of drug these commonly occur during highdose administration ie loading dose and usually respond to dose reduction or divided doses

ophthalmic abnormalities including optic neuropathy andor optic neuritis in some cases progressing to permanent blindness papilledema corneal degeneration photosensitivity eye discomfort scotoma lens opacities and macular degeneration have been reported see â€œwarningsâ€

asymptomatic corneal microdeposits are present in virtually all adult patients who have been on drug for more than  months some patients develop eye symptoms of halos photophobia and dry eyes vision is rarely affected and drug discontinuation is rarely needed

dermatological adverse reactions occur in about  of patients with photosensitivity being most common about  sunscreen and protection from sun exposure may be helpful and drug discontinuation is not usually necessary prolonged exposure to amiodarone occasionally results in a bluegray pigmentation this is slowly and occasionally incompletely reversible on discontinuation of drug but is of cosmetic importance only

cardiovascular adverse reactions other than exacerbation of the arrhythmias include the uncommon occurrence of congestive heart failure  and bradycardia bradycardia usually responds to dosage reduction but may require a pacemaker for control chf rarely requires drug discontinuation cardiac conduction abnormalities occur infrequently and are reversible on discontinuation of drug"
are you mentally ill when you take fluoxetine,fluoxetine prozac is used to treat depression obsessivecompulsive disorder bothersome thoughts that wont go away and the need to perform certain actions over and over some eating disorders and panic attacks sudden unexpected attacks of extreme fear and worry about these attacks fluoxetine sarafem is used to relieve the symptoms of premenstrual dysphoric disorder including mood swings irritability bloating and breast tenderness it is also used along with olanzapine zyprexa to treat depression that did not respond to other medications and episodes of depression in people with bipolar i disorder manicdepressive disorder a disease that causes episodes of depression episodes of mania and other abnormal moods
how to use lantus solostar insulin pen,"important administration instructions
administer lantus subcutaneously once daily at any time of day but at the same time every day
prior to initiation of lantus train patients on proper use and injection technique
patient should follow the instructions for use to correctly administer lantus
administer lantus subcutaneously into the abdominal area thigh or deltoid and rotate injection sites within the same region from one injection to the next to reduce the risk of lipodystrophy see adverse reactions 
visually inspect lantus vials and solostar prefilled pens for particulate matter and discoloration prior to administration only use if the solution is clear and colorless with no visible particles
refrigerate unused unopened lantus vials and solostarÂ® prefilled pens
do not administer intravenously or via an insulin pump
do not dilute or mix lantus with any other insulin or solution
the solostar prefilled pen is for single patient use only"
what are the dosage strengths of sildenafil,"sildenafil tablets

white filmcoated round tablets engraved with sdf containing sildenafil citrate equivalent to  mg of sildenafil"
how long should i take cipro for a urinary tract infection,urinary tract infections â€“ mg every  hours for  to  days
how to stop using estradiol patch,"attempts to taper or discontinue the medication should be made at  to  month intervals

estradiol transdermal system twiceweekly may be given continuously in patients who do not have an intact uterus in those patients with an intact uterus estradiol transdermal system twiceweekly may be given on a cyclic schedule for example  weeks on drug followed by  week off drug"
how much penicillin to treat strep throat for adult,"the usual dosage recommendations for adults and children  years and over are as follows

streptococcal infections
mild to moderately severe â€“ of the upper respiratory tract and including scarlet fever and erysipelas  to  mg  to  units every  to  hours for  days"
what class is diazepam,diazepam is a benzodiazepine that exerts anxiolytic sedative musclerelaxant anticonvulsant and amnestic effects
is estradiol transdermal patch bioidentical estrogen,"estradiol transdermal system twiceweekly is an estrogen indicated for
â€¢treatment of moderate to severe vasomotor symptoms due to menopause  
â€¢treatment of moderate to severe symptoms of vulvar and vaginal atrophy due to menopause"
how to reduce bisoprolol,"cessation of therapy
if withdrawal of bisoprolol fumarate and hydrochlorothiazide therapy is planned it should be achieved gradually over a period of about  weeks"
what does prednisone do to the body,prednisone is in a class of medications called corticosteroids it works to treat patients with low levels of corticosteroids by replacing steroids that are normally produced naturally by the body it works to treat other conditions by reducing swelling and redness and by changing the way the immune system works
what does prednisone do to the body,"fluid and electrolyte disturbances

sodium retention

fluid retention

congestive heart failure in susceptible patients

potassium loss

hypokalemic alkalosis

hypertension
musculoskeletal

muscle weakness

steroid myopathy

loss of muscle mass

osteoporosis

vertebral compression fractures

aseptic necrosis of femoral and humeral heads

pathologic fracture of long bones
gastrointestinal

peptic ulcer with possible perforation and hemorrhage

pancreatitis

abdominal distention

ulcerative esophagitis
dermatologic

impaired wound healing

thin fragile skin

petechiae and ecchymoses

facial erythema

increased sweating

may suppress reactions to skin tests
metabolic

negative nitrogen balance due to protein catabolism
neurological

convulsions

increased intracranial pressure with papilledema pseudotumor cerebri usually after treatment

vertigo

headache
endocrine

menstrual irregularities

development of cushingoid state

suppression of growth in children

secondary adrenocortical and pituitary unresponsiveness particularly in times of stress as in trauma surgery or illness

decreased carbohydrate tolerance

manifestations of latent diabetes mellitus

increased requirements for insulin or oral hypoglycemic agents in diabetics

 ophthalmic

posterior subcapsular cataracts

increased intraocular pressure

glaucoma

exophthalmos

additional reactions

urticaria and other allergic anaphylactic or hypersensitivity reactions"
how to prescribe fluocinonide  gel,"patients using topical corticosteroids should receive the following information and instructions
 this medication is to be used as directed by the physician it is for external use only avoid contact with the eyes
 patients should be advised not to use this medication for any disorder other than for which it was prescribed
 the treated skin area should not be bandaged or otherwise covered or wrapped as to be occlusive unless directed by the physician
 patients should report any signs of local adverse reactions especially under occlusive dressing
 parents of pediatric patients should be advised not to use tightfitting diapers or plastic pants on a child being treated in the diaper area as these garments may constitute occlusive dressings"
what to do with hydrogen peroxide poisoning,"seek medical help right away do not make the person throw up unless poison control or a health care provider tells you to do so if the chemical is on the skin or in the eyes flush with lots of water for at least  minutes

before calling emergency
have this information ready

persons age weight and condition
name of the product ingredients and strength if known
time it was swallowed or got into eyes or on skin
amount swallowed in eyes or on skin"
how does amxacillin clavulanic acid work,the combination of amoxicillin and clavulanic acid is used to treat certain infections caused by bacteria including infections of the ears lungs sinus skin and urinary tract amoxicillin is in a class of medications called penicillinlike antibiotics it works by stopping the growth of bacteria clavulanic acid is in a class of medications called betalactamase inhibitors it works by preventing bacteria from destroying amoxicillin
what is the action of ezetimibe in my body,ezetimibe is in a class of medications called cholesterollowering medications it works by preventing the absorption of cholesterol in the intestine
when is the best time of day to take propranolol,the extendedrelease propranolol capsule brand name inderal la usually is taken once a day the extendedrelease capsule innopran xl inderal xl is usually taken at bedtime and should consistently be taken either always with or always without food each time immediateacting propranolol tablets or solution may be taken two three or four times a day take propranolol at around the same times every day
how long are you protected after taking the hep b vaccine,studies indicate that immunologic memory remains intact for at least  years among healthy vaccinated individuals who initiated hepatitis b vaccination  months of age the vaccine confers longterm protection against clinical illness and chronic hepatitis b virus infection cellular immunity appears to persist even though antibody levels might become low or decline below detectable levels among vaccinated cohorts who initiated hepatitis b vaccination at birth longterm followup studies are ongoing to determine the duration of vaccineinduced immunity
how you use for paracetamol,"do not take more than directed see overdose warning
adults and children  years and over 
take  caplets every  hours while symptoms last
swallow whole â€“ do not crush chew or dissolve
do not take more than  caplets in  hours unless directed by a doctor
do not use for more than  days unless directed by a doctor
children under  years 
ask a doctor"
how you use for paracetamol,acetaminophen
